GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bank,com.fadtech.bank.service.mapper.todb,OperationMapperToDbImpl,4,74,2,2,2,18,2,3,0,3
bank,com.fadtech.bank.service.mapper.todb,AccountMapperToDb,0,5,0,0,0,1,0,1,0,1
bank,com.fadtech.bank.service.mapper.todb,OperationMapperToDb,0,5,0,0,0,1,0,1,0,1
bank,com.fadtech.bank.service.mapper.todb,AccountMapperToDbImpl,2,35,1,1,1,9,1,2,0,2
bank,com.fadtech.bank.exception,AccountNotFoundException,0,4,0,0,0,2,0,1,0,1
bank,com.fadtech.bank.exception,InvalidDataException,4,0,0,0,2,0,1,0,1,0
bank,com.fadtech.bank.exception,AmountMustBePositiveException,0,4,0,0,0,2,0,1,0,1
bank,com.fadtech.bank.exception,InsufficientFundException,0,4,0,0,0,2,0,1,0,1
bank,com.fadtech.bank.exception,BusinessException,0,4,0,0,0,2,0,1,0,1
bank,com.fadtech.bank.service.mapper.fromdb,AccountMapperFromDbImpl,0,37,0,2,0,10,0,3,0,2
bank,com.fadtech.bank.service.mapper.fromdb,OperationMapperFromDb,0,5,0,0,0,1,0,1,0,1
bank,com.fadtech.bank.service.mapper.fromdb,OperationMapperFromDbImpl,6,101,3,5,3,24,3,5,0,4
bank,com.fadtech.bank.service.mapper.fromdb,AccountMapperFromDb,0,5,0,0,0,1,0,1,0,1
bank,com.fadtech.bank.model,Operation.OperationBuilder,14,49,0,0,0,1,1,8,1,8
bank,com.fadtech.bank.model,Operation,292,47,66,0,15,9,44,9,11,9
bank,com.fadtech.bank.model,OperationType,0,24,0,0,0,3,0,1,0,1
bank,com.fadtech.bank.model,Account.AccountBuilder,12,42,0,0,0,1,1,7,1,7
bank,com.fadtech.bank.model,Statement,3,0,0,0,1,0,1,0,1,0
bank,com.fadtech.bank.model,AccountType,0,34,0,0,0,4,0,1,0,1
bank,com.fadtech.bank.model,Amount,0,18,0,2,0,6,0,3,0,2
bank,com.fadtech.bank.model,Account,212,45,46,0,1,8,31,9,8,9
bank,com.fadtech.bank.utils,ApiUrls,3,0,0,0,1,0,1,0,1,0
bank,com.fadtech.bank.utils,Message,3,0,0,0,1,0,1,0,1,0
bank,com.fadtech.bank,BankApplication,8,0,0,0,3,0,2,0,2,0
bank,com.fadtech.bank.service,OperationService,36,192,2,4,8,48,6,12,4,11
bank,com.fadtech.bank.repository.entity,AccountEntity,23,37,0,0,2,7,6,7,6,7
bank,com.fadtech.bank.repository.entity,OperationEntity.OperationEntityBuilder,14,49,0,0,0,1,1,8,1,8
bank,com.fadtech.bank.repository.entity,OperationEntity,27,43,0,0,2,8,7,8,7,8
bank,com.fadtech.bank.repository.entity,AccountEntity.AccountEntityBuilder,12,42,0,0,0,1,1,7,1,7
bank,com.fadtech.bank.controllers,OperationController,79,0,0,0,13,0,5,0,5,0
